round,desired_increase,majoritarian_moving_phantoms_bribery_cost,r1_quadratic_bribery_cost,r2_mean_bribery_cost,r3_median_bribery_cost,r4_capped_median_bribery_cost,desired_increase_percentage
5.5,0.009999999999999998,0.10073293517024332,0.10073293517024332,0.10073293517024332,0.10073293517024332,0.10073293517024332,0.01
5.5,1.1200000000000003,1.6571348378434396,4.240977549929166,1.5174842560767121,1.1898408410347858,4.011696016375534,1.12
5.5,2.23,3.1253528670581447,11.598689421709905,2.76700520056582,1.8863672213776923,12.9549009019081,2.23
5.5,3.34,4.141719437255906,24.335367747624467,4.134975899950042,2.791838934493171,18.73928283495014,3.34
5.5,4.450000000000001,6.204364547628403,30.0,6.558865571150716,4.412149795427302,27.207068544910953,4.45
5.5,5.5600000000000005,8.37433819571516,30.0,8.348100553971912,5.832280905225394,30.0,5.5600000000000005
5.5,6.67,11.477994267217811,30.0,11.92172735904309,7.2851994048492,30.0,6.67
5.5,7.779999999999999,13.960605501507084,30.0,12.450687528953143,9.18042375914202,30.0,7.78
5.5,8.89,19.34285113022323,30.0,16.165996895952407,11.654278546422834,30.0,8.89
5.5,10.0,20.660341640647722,30.0,21.22185002254735,14.09825503546951,30.0,10.0
