round,desired_increase,normalized_median_bribery_cost,r1_quadratic_bribery_cost,r2_mean_bribery_cost,r3_median_bribery_cost,r4_capped_median_bribery_cost
5.5,1.0,11936.48671282591,935.5224016427544,5512.441518297048,11936.48671282591,11936.48671282591
5.5,12.0,5225.6813265516475,935.5224016427544,935.5224016427544,5225.6813265516475,11936.48671282591
5.5,23.0,5225.6813265516475,935.5224016427544,935.5224016427544,5225.6813265516475,11936.48671282591
5.5,34.0,5225.6813265516475,935.5224016427544,935.5224016427544,5225.6813265516475,11936.48671282591
5.5,45.0,5225.6813265516475,935.5224016427544,935.5224016427544,5225.6813265516475,11936.48671282591
5.5,56.0,5225.6813265516475,935.5224016427544,935.5224016427544,5225.6813265516475,11936.48671282591
5.5,67.0,5225.6813265516475,935.5224016427544,935.5224016427544,5225.6813265516475,11936.48671282591
5.5,78.0,5225.6813265516475,935.5224016427544,935.5224016427544,5225.6813265516475,11936.48671282591
5.5,89.0,5225.6813265516475,935.5224016427544,935.5224016427544,5225.6813265516475,11936.48671282591
5.5,100.0,5225.6813265516475,935.5224016427544,935.5224016427544,5225.6813265516475,11936.48671282591
