round,desired_increase,r1_quadratic_bribery_cost,r2_mean_bribery_cost,r3_median_bribery_cost,r4_capped_median_bribery_cost,r4_capped_median_no_caps_bribery_cost,desired_increase_percentage
1.0,1.0,149.68358426287872,0.0,0.0,0.0,0.0,1.0
1.0,4.222222222222222,748.4179213143937,0.0,0.0,0.0,0.0,4.222222222222222
1.0,7.444444444444445,12347.869000986573,299.36716852575745,0.0,0.0,0.0,7.444444444444445
1.0,10.666666666666668,285848.5074005059,7524.981110235305,0.0,0.0,0.0,10.666666666666668
1.0,13.88888888888889,1420270.7438857893,10033.308146980407,0.0,0.0,0.0,13.88888888888889
1.0,17.11111111111111,4342895.654859243,12541.63518372551,0.0,0.0,0.0,17.11111111111111
1.0,20.333333333333336,6176562.709133111,15049.962220470612,0.0,0.0,0.0,20.333333333333336
1.0,23.555555555555557,8000000.0,17558.28925721571,0.0,0.0,0.0,23.555555555555557
1.0,26.77777777777778,8000000.0,20066.616293960808,0.0,0.0,0.0,26.77777777777778
1.0,30.0,8000000.0,22574.943330705904,0.0,0.0,0.0,30.0
