round,desired_increase,normalized_median_bribery_cost,r1_quadratic_bribery_cost,r2_mean_bribery_cost,r3_median_bribery_cost,r4_capped_median_bribery_cost
20.5,1.0,11404.989141544576,1940.5755564271028,11005.080633668338,11404.989141544576,9351.98821513941
20.5,12.0,2181.035417846762,187.1044803285509,1045.1362653103295,2181.035417846762,2387.297342565182
20.5,23.0,1660.5005102796372,187.1044803285509,1045.1362653103295,1660.5005102796372,2387.297342565182
20.5,34.0,1550.7127335696255,187.1044803285509,1045.1362653103295,1550.7127335696255,2387.297342565182
20.5,45.0,1300.06078172903,187.1044803285509,1045.1362653103295,1300.06078172903,2387.297342565182
20.5,56.0,1300.06078172903,187.1044803285509,1045.1362653103295,1300.06078172903,2387.297342565182
20.5,67.0,1300.06078172903,187.1044803285509,187.1044803285509,1300.06078172903,2387.297342565182
20.5,78.0,1300.06078172903,187.1044803285509,187.1044803285509,1300.06078172903,2387.297342565182
20.5,89.0,1300.06078172903,187.1044803285509,187.1044803285509,1300.06078172903,2387.297342565182
20.5,100.0,1300.06078172903,187.1044803285509,187.1044803285509,1045.1362653103295,2387.297342565182
